Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 24.52      0.64     0.64 10325058     0.00     0.00  Dna::promoter_at(int)
 12.65      0.97     0.33  6230278     0.00     0.00  Threefry::Gen::random_raw()
  8.43      1.19     0.22 399190347     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  6.51      1.36     0.17   102754     0.00     0.00  void std::_Destroy<Protein**, Protein*>(Protein**, Protein**, std::allocator<Protein*>&)
  6.13      1.52     0.16 13084698     0.00     0.00  Dna::terminator_at(int)
  5.75      1.67     0.15 368790664     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  3.07      1.75     0.08    51747     0.00     0.00  Organism::compute_phenotype()
  3.07      1.83     0.08      816     0.00     0.00  std::vector<char, std::allocator<char> >::vector(unsigned long, std::allocator<char> const&)
  2.30      1.89     0.06 15728011     0.00     0.00  Dna::shine_dal_start(int)
  2.30      1.95     0.06  1024000     0.00     0.00  ExpManager::selection(int) const
  2.11      2.01     0.06 138736253     0.00     0.00  Dna::length() const
  1.53      2.05     0.04 22704638     0.00     0.00  r123array2x64::operator[](unsigned long)
  1.34      2.08     0.04      816     0.00     0.00  Dna::Dna(int, Threefry::Gen&&)
  1.15      2.11     0.03 33849113     0.00     0.00  Organism::length() const
  1.15      2.14     0.03    51747     0.00     0.00  Organism::compute_RNA()
  1.15      2.17     0.03    51747     0.00     0.00  Organism::compute_fitness(double const*)
  0.96      2.20     0.03  6230278     0.00     0.00  Threefry::Gen::random()
  0.96      2.22     0.03  4131139     0.00     0.00  Threefry::Gen::random(unsigned int)
  0.77      2.24     0.02  4096816     0.00     0.00  Threefry::Gen::Gen(Threefry::Gen&&)
  0.77      2.26     0.02  1075139     0.00     0.00  std::operator!=(std::_List_iterator<MutationEvent*> const&, std::_List_iterator<MutationEvent*> const&)
  0.77      2.28     0.02  1024000     0.00     0.00  Threefry::Gen::roulette_random(double*, int, bool)
  0.77      2.30     0.02    52979     0.00     0.00  Organism::look_for_new_promoters_starting_between(int, int)
  0.77      2.32     0.02     1000     0.00     0.00  Stats::compute_average(std::shared_ptr<Organism> const*, int)
  0.38      2.33     0.01 31642314     0.00     0.00  Organism::loop_back(int&) const
  0.38      2.34     0.01 21722247     0.00     0.00  std::__shared_ptr_access<Organism, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.38      2.35     0.01  5003419     0.00     0.00  std::vector<RNA*, std::allocator<RNA*> >::operator[](unsigned long)
  0.38      2.36     0.01  2100980     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.38      2.37     0.01  2048817     0.00     0.00  std::tuple_element<0ul, std::tuple<Threefry*, std::default_delete<Threefry> > >::type const& std::get<0ul, Threefry*, std::default_delete<Threefry> >(std::tuple<Threefry*, std::default_delete<Threefry> > const&)
  0.38      2.38     0.01  2048816     0.00     0.00  Threefry::Gen::Gen(Threefry*, unsigned long, Threefry::Phase)
  0.38      2.39     0.01  2048816     0.00     0.00  Threefry::gen(unsigned long, Threefry::Phase)
  0.38      2.40     0.01  2000933     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2> const&)
  0.38      2.41     0.01  1248832     0.00     0.00  std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_S_right(std::_Rb_tree_node_base*)
  0.38      2.42     0.01  1024000     0.00     0.00  DnaMutator::generate_mutations()
  0.38      2.43     0.01  1024000     0.00     0.00  Threefry::Gen::binomial_random(int, double)
  0.38      2.44     0.01  1024000     0.00     0.00  ExpManager::prepare_mutation(int) const
  0.38      2.45     0.01  1024000     0.00     0.00  std::__cxx11::list<MutationEvent*, std::allocator<MutationEvent*> >::begin()
  0.38      2.46     0.01  1024000     0.00     0.00  std::__cxx11::list<MutationEvent*, std::allocator<MutationEvent*> >::list()
  0.38      2.47     0.01   828094     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.38      2.48     0.01   819584     0.00     0.00  std::_Rb_tree_node<std::pair<int const, signed char> >* std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_clone_node<std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_Reuse_or_alloc_node>(std::_Rb_tree_node<std::pair<int const, signed char> > const*, std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_Reuse_or_alloc_node&)
  0.38      2.49     0.01   819584     0.00     0.00  void std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_construct_node<std::pair<int const, signed char> const&>(std::_Rb_tree_node<std::pair<int const, signed char> >*, std::pair<int const, signed char> const&)
  0.38      2.50     0.01   255695     0.00     0.00  Organism::mod(int, int)
  0.38      2.51     0.01   255537     0.00     0.00  Dna::codon_at(int)
  0.38      2.52     0.01   113154     0.00     0.00  std::vector<int, std::allocator<int> >::_S_use_relocate()
  0.38      2.53     0.01    52631     0.00     0.00  void std::_Rb_tree<int, std::pair<int const, Protein*>, std::_Select1st<std::pair<int const, Protein*> >, std::less<int>, std::allocator<std::pair<int const, Protein*> > >::_M_construct_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::_Rb_tree_node<std::pair<int const, Protein*> >*, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.38      2.54     0.01    51747     0.00     0.00  Organism::compute_protein()
  0.38      2.55     0.01    51747     0.00     0.00  Organism::~Organism()
  0.38      2.56     0.01    50931     0.00     0.00  Organism::Organism(std::shared_ptr<Organism> const&)
  0.38      2.57     0.01    12073     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, signed char> > std::_Rb_tree<int, std::pair<int const, signed char>, std::_Select1st<std::pair<int const, signed char> >, std::less<int>, std::allocator<std::pair<int const, signed char> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<int const, signed char> >, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
